layer,win_start,win_end,ppl_new,delta_ppl,seconds,override_nsize,channel_window,eval_batch_size,l2_diff_vs_baseline
model.layers.0.self_attn.k_proj,3840,4096,7.929691067101412,-0.0067678277052642954,24.352113485336304,5,256,8,8.739563941955566
model.layers.0.self_attn.v_proj,0,256,7.937077467569136,0.0006185727624599124,24.147393226623535,5,256,8,3.2656404972076416
model.layers.0.self_attn.v_proj,256,512,7.939487943866583,0.003029049059906974,23.942766666412354,5,256,8,5.128711223602295
model.layers.0.self_attn.v_proj,512,768,7.940171944761817,0.003713049955140768,24.217742919921875,5,256,8,4.9500603675842285
model.layers.0.self_attn.v_proj,768,1024,7.936636575558549,0.00017768075187341026,24.091843605041504,5,256,8,4.8455986976623535
model.layers.0.self_attn.v_proj,1024,1280,7.9361838915924805,-0.00027500321419537954,24.390318393707275,5,256,8,3.9004547595977783
model.layers.0.self_attn.v_proj,1280,1536,7.935591224774758,-0.0008676700319174557,24.605311155319214,5,256,8,3.5124945640563965
model.layers.0.self_attn.v_proj,1536,1792,7.937479682899213,0.0010207880925374724,24.191083431243896,5,256,8,3.403297185897827
model.layers.0.self_attn.v_proj,1792,2048,7.934128674037878,-0.0023302207687976306,24.162556886672974,5,256,8,3.486170768737793
model.layers.0.self_attn.v_proj,2048,2304,7.932179555881323,-0.004279338925353038,24.05927610397339,5,256,8,5.902186870574951
model.layers.0.self_attn.v_proj,2304,2560,7.936595873671086,0.00013697886441033091,24.197288513183594,5,256,8,3.6715493202209473
model.layers.0.self_attn.v_proj,2560,2816,7.931752211041529,-0.004706683765147268,24.219822883605957,5,256,8,3.6117892265319824
model.layers.0.self_attn.v_proj,2816,3072,7.934642365882798,-0.001816528923877847,24.44837474822998,5,256,8,4.0734758377075195
model.layers.0.self_attn.v_proj,3072,3328,7.936599871168645,0.0001409763619690807,24.3369882106781,5,256,8,4.6958465576171875
model.layers.0.self_attn.v_proj,3328,3584,7.9360329483763365,-0.0004259464303393301,24.179336309432983,5,256,8,5.698236465454102
model.layers.0.self_attn.v_proj,3584,3840,7.92816010344073,-0.008298791365946023,24.22778344154358,5,256,8,5.056179046630859
model.layers.0.self_attn.v_proj,3840,4096,7.936573968923959,0.00011507411728306494,24.05845355987549,5,256,8,5.866034507751465
model.layers.0.self_attn.o_proj,0,256,7.9363686712491885,-9.022355748733446e-05,24.285940170288086,5,256,8,3.747631311416626
model.layers.0.self_attn.o_proj,256,512,7.936105211800911,-0.000353683005764438,24.139943838119507,5,256,8,3.7520034313201904
model.layers.0.self_attn.o_proj,512,768,7.938330036756768,0.0018711419500920812,24.273682355880737,5,256,8,3.835479259490967
