layer,win_start,win_end,ppl_new,delta_ppl,seconds,override_nsize,channel_window,eval_batch_size,l2_diff_vs_baseline
model.decoder.layers.0.self_attn.v_proj,2304,2560,13.928344292025987,-0.011399383456254242,26.216979503631592,5,256,8,1.1843503713607788
model.decoder.layers.0.self_attn.q_proj,0,256,13.936550543467366,-0.003193132014875033,26.145496129989624,5,256,8,2.2077796459198
model.decoder.layers.0.self_attn.q_proj,256,512,13.940790425439358,0.0010467499571173988,26.259593963623047,5,256,8,1.9631742238998413
model.decoder.layers.0.self_attn.q_proj,512,768,13.939628493155924,-0.00011518232631679837,26.20377540588379,5,256,8,1.9053828716278076
model.decoder.layers.0.self_attn.q_proj,768,1024,13.93956325841058,-0.00018041707166105425,26.277804613113403,5,256,8,1.8714616298675537
model.decoder.layers.0.self_attn.q_proj,1024,1280,13.939487388981577,-0.0002562865006634496,26.245250701904297,5,256,8,1.833562970161438
model.decoder.layers.0.self_attn.q_proj,1280,1536,13.938425735072956,-0.0013179404092849012,26.314616918563843,5,256,8,1.8984732627868652
model.decoder.layers.0.self_attn.q_proj,1536,1792,13.934595205060164,-0.0051484704220765565,26.271331548690796,5,256,8,2.0069169998168945
model.decoder.layers.0.self_attn.q_proj,1792,2048,13.93884617111462,-0.0008975043676215932,26.238078832626343,5,256,8,1.829701542854309
model.decoder.layers.0.self_attn.q_proj,2048,2304,13.937322293209842,-0.002421382272398631,26.21852469444275,5,256,8,2.058473825454712
model.decoder.layers.0.self_attn.q_proj,2304,2560,13.932381327701524,-0.00736234778071676,26.218780040740967,5,256,8,2.405151605606079
model.decoder.layers.0.self_attn.out_proj,0,256,13.94000224570421,0.0002585702219697339,26.15931534767151,5,256,8,1.306078553199768
model.decoder.layers.0.self_attn.out_proj,256,512,13.939900640234073,0.00015696475183268888,26.231207132339478,5,256,8,1.280096173286438
model.decoder.layers.0.self_attn.out_proj,512,768,13.939966161433754,0.00022248595151275197,26.279449701309204,5,256,8,0.8362841606140137
model.decoder.layers.0.self_attn.out_proj,768,1024,13.939610071668515,-0.00013360381372606867,26.169915914535522,5,256,8,0.8456799983978271
model.decoder.layers.0.self_attn.out_proj,1024,1280,13.9371030773802,-0.0026405981020403146,26.263447284698486,5,256,8,1.430348515510559
model.decoder.layers.0.self_attn.out_proj,1280,1536,13.938381584327411,-0.0013620911548297698,26.284023761749268,5,256,8,1.4408621788024902
model.decoder.layers.0.self_attn.out_proj,1536,1792,13.938786447155254,-0.0009572283269871917,26.18393039703369,5,256,8,1.286266565322876
model.decoder.layers.0.self_attn.out_proj,1792,2048,13.94335706644256,0.0036133909603197623,26.301631927490234,5,256,8,0.862505316734314
model.decoder.layers.0.self_attn.out_proj,2048,2304,13.937795484563066,-0.0019481909191743085,26.273495197296143,5,256,8,0.8500345945358276
model.decoder.layers.0.self_attn.out_proj,2304,2560,13.936311688509461,-0.00343198697277991,26.29295039176941,5,256,8,0.8469870090484619
model.decoder.layers.0.fc1,0,256,13.94319854308288,0.0034548676006398438,26.08583641052246,5,256,8,3.5626745223999023
model.decoder.layers.0.fc1,256,512,13.938813128256509,-0.0009305472257317149,26.288381099700928,5,256,8,3.61645770072937
model.decoder.layers.0.fc1,512,768,13.936767567062082,-0.0029761084201584964,26.149651765823364,5,256,8,3.6209051609039307
model.decoder.layers.0.fc1,768,1024,13.938645636352998,-0.0010980391292427782,26.201258659362793,5,256,8,3.604780912399292
model.decoder.layers.0.fc1,1024,1280,13.93807053916728,-0.0016731363149613543,26.22895383834839,5,256,8,3.581113338470459
model.decoder.layers.0.fc1,1280,1536,13.9359572109947,-0.0037864644875416076,26.269824504852295,5,256,8,3.5931997299194336
model.decoder.layers.0.fc1,1536,1792,13.935296125974217,-0.00444754950802384,26.41458511352539,5,256,8,3.612786054611206
model.decoder.layers.0.fc1,1792,2048,13.955146602718402,0.015402927236161545,26.16441249847412,5,256,8,3.543881416320801
model.decoder.layers.0.fc1,2048,2304,13.938346263831672,-0.001397411650568614,26.30016279220581,5,256,8,3.5764808654785156
model.decoder.layers.0.fc1,2304,2560,13.946672602740486,0.006928927258245565,26.31613063812256,5,256,8,3.600123643875122
model.decoder.layers.0.fc1,2560,2816,13.940421019990865,0.0006773445086238894,26.272939443588257,5,256,8,3.610969305038452
model.decoder.layers.0.fc1,2816,3072,13.93795840889936,-0.0017852665828801406,26.34034824371338,5,256,8,3.6214070320129395
model.decoder.layers.0.fc1,3072,3328,13.941268198005341,0.0015245225231002024,26.238630056381226,5,256,8,3.652970552444458
model.decoder.layers.0.fc1,3328,3584,13.924478686183162,-0.01526498929907838,26.19355535507202,5,256,8,3.5776281356811523
model.decoder.layers.0.fc1,3584,3840,13.94125319317164,0.0015095176893993312,26.158852100372314,5,256,8,3.5782387256622314
model.decoder.layers.0.fc1,3840,4096,13.937196972348058,-0.002546703134182593,26.38535475730896,5,256,8,3.644598960876465
model.decoder.layers.0.fc1,4096,4352,13.938462574941852,-0.0012811005403889908,26.261048555374146,5,256,8,3.5558555126190186
model.decoder.layers.0.fc1,4352,4608,13.935540184583749,-0.004203490898492035,26.155468940734863,5,256,8,3.6374690532684326
model.decoder.layers.0.fc1,4608,4864,13.927086628598792,-0.012657046883449041,26.16042685508728,5,256,8,3.5845282077789307
model.decoder.layers.0.fc1,4864,5120,13.936017397489467,-0.0037262779927740297,26.275301456451416,5,256,8,3.53602933883667
model.decoder.layers.0.fc1,5120,5376,13.938678204065504,-0.0010654714167372958,26.239624738693237,5,256,8,3.611896276473999
model.decoder.layers.0.fc1,5376,5632,13.93942908659708,-0.0003145888851605605,26.260068655014038,5,256,8,3.6858949661254883
model.decoder.layers.0.fc1,5632,5888,13.940523958725867,0.0007802832436265561,26.203100442886353,5,256,8,3.5627124309539795
model.decoder.layers.0.fc1,5888,6144,13.94159223037937,0.0018485548971298726,26.234209775924683,5,256,8,3.6057956218719482
model.decoder.layers.0.fc1,6144,6400,13.945966739638427,0.006223064156186453,26.20687961578369,5,256,8,3.611557960510254
model.decoder.layers.0.fc1,6400,6656,13.937885681367067,-0.0018579941151735113,26.17819118499756,5,256,8,3.5515999794006348
model.decoder.layers.0.fc1,6656,6912,13.938519733900257,-0.0012239415819834676,26.264742851257324,5,256,8,3.540004253387451
model.decoder.layers.0.fc1,6912,7168,13.939303651837575,-0.00044002364466599886,26.206588983535767,5,256,8,3.5819573402404785
model.decoder.layers.0.fc1,7168,7424,13.938490015010574,-0.001253660471666862,26.30906891822815,5,256,8,3.554804801940918
model.decoder.layers.0.fc1,7424,7680,13.931621809156344,-0.008121866325897287,26.27182412147522,5,256,8,3.5871059894561768
model.decoder.layers.0.fc1,7680,7936,13.939448267484938,-0.0002954079973029877,26.23937726020813,5,256,8,3.624652147293091
model.decoder.layers.0.fc1,7936,8192,13.941705054673514,0.0019613791912735934,26.213592052459717,5,256,8,3.588557481765747
model.decoder.layers.0.fc1,8192,8448,13.93768221719278,-0.0020614582894609157,26.263482332229614,5,256,8,3.5518338680267334
model.decoder.layers.0.fc1,8448,8704,13.93921449034436,-0.0005291851378803614,26.31787085533142,5,256,8,3.5686373710632324
model.decoder.layers.0.fc1,8704,8960,13.938167289039582,-0.0015763864426592278,26.238882780075073,5,256,8,3.55734920501709
model.decoder.layers.0.fc1,8960,9216,13.937280234643477,-0.0024634408387633755,26.26464056968689,5,256,8,3.591482162475586
model.decoder.layers.0.fc1,9216,9472,13.938467132458175,-0.0012765430240655462,26.284430027008057,5,256,8,3.5700573921203613
model.decoder.layers.0.fc1,9472,9728,13.93677297845474,-0.00297069702750008,26.169978141784668,5,256,8,3.589384078979492
model.decoder.layers.0.fc1,9728,9984,13.938366297757787,-0.0013773777244541208,26.293938636779785,5,256,8,3.6268513202667236
model.decoder.layers.0.fc1,9984,10240,13.940894031655734,0.0011503561734933498,26.214181423187256,5,256,8,3.538302421569824
model.decoder.layers.0.fc2,0,256,13.937187478389292,-0.002556197092948409,26.22062063217163,5,256,8,6.121403694152832
model.decoder.layers.0.fc2,256,512,13.941135909110274,0.0013922336280334235,26.121912240982056,5,256,8,6.114295959472656
model.decoder.layers.0.fc2,512,768,13.940105466225194,0.000361790742953616,26.09763765335083,5,256,8,6.056238651275635
model.decoder.layers.0.fc2,768,1024,13.940390442394982,0.0006467669127410147,26.154425621032715,5,256,8,6.072122097015381
model.decoder.layers.0.fc2,1024,1280,13.941419006977569,0.0016753314953277254,26.106339931488037,5,256,8,6.252597332000732
model.decoder.layers.0.fc2,1280,1536,13.940292347641032,0.0005486721587910637,26.15854573249817,5,256,8,6.469480037689209
model.decoder.layers.0.fc2,1536,1792,13.941983415486186,0.002239740003945556,26.216957569122314,5,256,8,6.102842330932617
model.decoder.layers.0.fc2,1792,2048,13.942413551328418,0.00266987584617695,26.158799648284912,5,256,8,6.049965858459473
model.decoder.layers.0.fc2,2048,2304,13.93742625341621,-0.0023174220660315825,26.161251068115234,5,256,8,6.043601036071777
model.decoder.layers.0.fc2,2304,2560,13.934908260992437,-0.0048354144898041795,26.10767149925232,5,256,8,6.048379421234131
model.decoder.layers.1.self_attn.k_proj,0,256,13.9401695639895,0.0004258885072587759,26.260647773742676,5,256,8,2.5884180068969727
model.decoder.layers.1.self_attn.k_proj,256,512,13.939977651415004,0.00023397593276364148,26.15688180923462,5,256,8,3.067674398422241
model.decoder.layers.1.self_attn.k_proj,512,768,13.939480932027966,-0.00026274345427523826,26.16649055480957,5,256,8,2.9496543407440186
model.decoder.layers.1.self_attn.k_proj,768,1024,13.939878230155296,0.0001345546730551206,26.139838457107544,5,256,8,3.1119537353515625
