layer,win_start,win_end,ppl_new,delta_ppl,seconds,override_nsize,channel_window,eval_batch_size,l2_diff_vs_baseline
model.layers.0.mlp.gate_proj,3072,4096,7.182836107781437,-2.200476303215737e-05,45.535757064819336,5,1024,8,10.074114799499512
model.layers.0.mlp.gate_proj,4096,5120,7.182759279313277,-9.883323119197485e-05,45.76156210899353,5,1024,8,9.965523719787598
model.layers.0.mlp.gate_proj,5120,6144,7.182871578178976,1.3465634506992785e-05,45.841604232788086,5,1024,8,9.958261489868164
model.layers.0.mlp.gate_proj,6144,7168,7.182761179488379,-9.693305609026481e-05,45.968590259552,5,1024,8,10.053123474121094
model.layers.0.mlp.gate_proj,7168,8192,7.182689864619234,-0.00016824792523539855,45.86793303489685,5,1024,8,10.04286003112793
model.layers.0.mlp.gate_proj,8192,9216,7.183220684737231,0.0003625721927615899,46.044193267822266,5,1024,8,9.98378849029541
model.layers.0.mlp.gate_proj,9216,10240,7.183293905192771,0.0004357926483020691,45.734407901763916,5,1024,8,10.051397323608398
model.layers.0.mlp.gate_proj,10240,11264,7.183410670020181,0.0005525574757117013,45.746997594833374,5,1024,8,9.992276191711426
model.layers.0.mlp.gate_proj,11264,12288,7.183192602626603,0.0003344900821335983,45.66319561004639,5,1024,8,10.032819747924805
model.layers.0.mlp.gate_proj,12288,13312,7.182967386662668,0.00010927411819849908,45.82042860984802,5,1024,8,9.989068031311035
model.layers.0.mlp.gate_proj,13312,13824,7.182710156442495,-0.00014795610197460007,45.88475561141968,5,1024,8,7.102567195892334
model.layers.0.mlp.up_proj,0,1024,7.182606774306239,-0.0002513382382298701,45.80168581008911,5,1024,8,9.395516395568848
model.layers.0.mlp.up_proj,1024,2048,7.182772533631571,-8.557891289839858e-05,45.74870824813843,5,1024,8,9.351593971252441
model.layers.0.mlp.up_proj,2048,3072,7.183614150816249,0.0007560382717795022,45.85778188705444,5,1024,8,9.382757186889648
model.layers.0.mlp.up_proj,3072,4096,7.1815024588077225,-0.0013556537367467314,45.97608470916748,5,1024,8,9.406148910522461
model.layers.0.mlp.up_proj,4096,5120,7.182567317300533,-0.0002907952439361594,45.86783742904663,5,1024,8,9.362567901611328
model.layers.0.mlp.up_proj,5120,6144,7.1833227384446445,0.00046462590017526395,45.834389209747314,5,1024,8,9.372230529785156
model.layers.0.mlp.up_proj,6144,7168,7.182389880745872,-0.00046823179859689645,45.699862003326416,5,1024,8,9.402665138244629
model.layers.0.mlp.up_proj,7168,8192,7.182271138635765,-0.0005869739087041026,45.76638722419739,5,1024,8,9.39932632446289
model.layers.0.mlp.up_proj,8192,9216,7.182739620741096,-0.00011849180337364373,45.721771001815796,5,1024,8,9.40112018585205
model.layers.0.mlp.up_proj,9216,10240,7.182636378932038,-0.00022173361243105205,45.764976501464844,5,1024,8,9.413681983947754
model.layers.0.mlp.up_proj,10240,11264,7.183350656837865,0.0004925442933956248,45.863484382629395,5,1024,8,9.39441967010498
model.layers.0.mlp.up_proj,11264,12288,7.183778009482804,0.0009198969383348299,45.951802492141724,5,1024,8,9.371102333068848
model.layers.0.mlp.up_proj,12288,13312,7.183069342931569,0.00021123038709980335,45.96830201148987,5,1024,8,9.387473106384277
model.layers.0.mlp.up_proj,13312,13824,7.182523567663549,-0.0003345448809204399,45.888936281204224,5,1024,8,6.651256561279297
model.layers.0.mlp.down_proj,0,1024,7.180278876935089,-0.002579235609379893,45.79036092758179,5,1024,8,17.69254493713379
model.layers.0.mlp.down_proj,1024,2048,7.183945954417285,0.0010878418728159645,45.60864615440369,5,1024,8,17.728151321411133
model.layers.0.mlp.down_proj,2048,3072,7.183323395346768,0.0004652828022990718,45.701207876205444,5,1024,8,17.633037567138672
model.layers.0.mlp.down_proj,3072,4096,7.183014282613058,0.00015617006858903437,45.62043118476868,5,1024,8,17.74589729309082
model.layers.0.mlp.down_proj,4096,5120,7.180382483528029,-0.0024756290164402728,45.84324049949646,5,1024,8,17.674182891845703
model.layers.1.self_attn.q_proj,0,1024,7.1829767470605255,0.00011863451605620412,45.92548632621765,5,1024,8,4.05667781829834
model.layers.1.self_attn.q_proj,1024,2048,7.182786726335798,-7.138620867142009e-05,46.12407326698303,5,1024,8,4.212080955505371
