layer,win_start,win_end,ppl_new,delta_ppl,seconds,override_nsize,channel_window,eval_batch_size,l2_diff_vs_baseline
model.layers.0.self_attn.k_proj,1792,2048,6.522603149306066,0.007338254175410341,24.490053415298462,5,256,8,3.6244843006134033
model.layers.0.self_attn.k_proj,2048,2304,6.515090733964377,-0.00017416116627888556,24.502558708190918,5,256,8,3.4236652851104736
model.layers.0.self_attn.k_proj,2304,2560,6.516440539269183,0.001175644138527332,24.588993072509766,5,256,8,4.64663553237915
model.layers.0.self_attn.k_proj,2560,2816,6.514082464880515,-0.0011824302501413086,24.525808811187744,5,256,8,3.616358518600464
model.layers.0.self_attn.k_proj,2816,3072,6.516250305318964,0.0009854101883082222,24.598166942596436,5,256,8,3.365370273590088
model.layers.0.self_attn.k_proj,3072,3328,6.506595843417235,-0.00866905171342136,24.460671186447144,5,256,8,3.9540657997131348
model.layers.0.self_attn.k_proj,3328,3584,6.515205437265197,-5.9457865458689696e-05,24.566184997558594,5,256,8,3.317281484603882
model.layers.0.self_attn.k_proj,3584,3840,6.515257727219466,-7.167911189931431e-06,24.509472370147705,5,256,8,5.3794074058532715
model.layers.0.self_attn.k_proj,3840,4096,6.516169444001404,0.0009045488707482008,24.55164337158203,5,256,8,3.58465838432312
model.layers.0.self_attn.v_proj,0,256,6.521511834593643,0.006246939462987378,24.456846237182617,5,256,8,1.9638597965240479
model.layers.0.self_attn.v_proj,256,512,6.524686579624631,0.009421684493974958,24.471397161483765,5,256,8,2.3548195362091064
model.layers.0.self_attn.v_proj,512,768,6.51411541642001,-0.001149478710646079,24.544069528579712,5,256,8,1.9418060779571533
model.layers.0.self_attn.v_proj,768,1024,6.513756233050925,-0.0015086620797308825,24.534883975982666,5,256,8,2.8019304275512695
model.layers.0.self_attn.v_proj,1024,1280,6.518047856884251,0.002782961753594826,24.586681842803955,5,256,8,2.4400546550750732
model.layers.0.self_attn.v_proj,1280,1536,6.5216416377260895,0.006376742595433527,24.46123719215393,5,256,8,2.1824138164520264
model.layers.0.self_attn.v_proj,1536,1792,6.517360078535628,0.0020951834049718343,24.543676376342773,5,256,8,2.520759105682373
model.layers.0.self_attn.v_proj,1792,2048,6.523262998895029,0.007998103764372821,24.48079562187195,5,256,8,2.607450008392334
model.layers.0.self_attn.v_proj,2048,2304,6.51570314459731,0.00043824946665438347,24.503292322158813,5,256,8,2.3191206455230713
