layer,win_start,win_end,ppl_new,delta_ppl,seconds,override_nsize,channel_window,eval_batch_size,l2_diff_vs_baseline
model.layers.0.self_attn.q_proj,0,1024,8.393688624809617,0.00043989858172110985,23.566696643829346,5,1024,8,9.991721153259277
model.layers.0.self_attn.q_proj,1024,2048,8.393184773302867,-6.395292502858752e-05,23.524081230163574,5,1024,8,9.350397109985352
model.layers.0.self_attn.q_proj,2048,3072,8.391272825119772,-0.001975901108123068,23.674371242523193,5,1024,8,9.135408401489258
model.layers.0.self_attn.q_proj,3072,3584,8.392363022947801,-0.0008857032800939635,23.809785842895508,5,1024,8,6.442567348480225
model.layers.0.self_attn.k_proj,0,512,8.393804531383038,0.0005558051551428633,23.70764446258545,5,1024,8,8.77469253540039
model.layers.0.self_attn.v_proj,0,512,8.388565114377743,-0.004683611850152758,23.82902765274048,5,1024,8,2.887498617172241
model.layers.0.self_attn.o_proj,0,1024,8.39032600249792,-0.002922723729975374,23.62373685836792,5,1024,8,5.701940536499023
model.layers.0.self_attn.o_proj,1024,2048,8.392539624370373,-0.0007091018575220431,23.85783100128174,5,1024,8,5.692402362823486
model.layers.0.self_attn.o_proj,2048,3072,8.401058042699368,0.007809316471472982,23.82981586456299,5,1024,8,5.691789627075195
model.layers.0.self_attn.o_proj,3072,3584,8.391294914355518,-0.001953811872377642,23.68013882637024,5,1024,8,4.0324602127075195
model.layers.0.mlp.gate_proj,0,1024,8.392971454210683,-0.00027727201721283734,23.887365579605103,5,1024,8,6.75046968460083
model.layers.0.mlp.gate_proj,1024,2048,8.391693434984472,-0.0015552912434237953,23.591634511947632,5,1024,8,6.839841842651367
model.layers.0.mlp.gate_proj,2048,3072,8.393144038860548,-0.00010468736734736694,23.857845544815063,5,1024,8,6.725841999053955
model.layers.0.mlp.gate_proj,3072,4096,8.39383452260663,0.000585796378734571,23.66527223587036,5,1024,8,6.789444923400879
model.layers.0.mlp.gate_proj,4096,5120,8.392537760483712,-0.0007109657441830564,23.641886711120605,5,1024,8,6.672689914703369
model.layers.0.mlp.gate_proj,5120,6144,8.393435077906851,0.00018635167895553195,23.659706115722656,5,1024,8,6.8288445472717285
model.layers.0.mlp.gate_proj,6144,7168,8.39341355870938,0.00016483248148446705,23.760539770126343,5,1024,8,6.74837064743042
model.layers.0.mlp.gate_proj,7168,8192,8.392877817010254,-0.00037090921764182383,23.63042449951172,5,1024,8,6.734594821929932
model.layers.0.mlp.gate_proj,8192,9216,8.391773190715103,-0.0014755355127924474,23.640647411346436,5,1024,8,6.6999311447143555
model.layers.0.mlp.gate_proj,9216,10240,8.392780452972962,-0.0004682732549330382,23.683124780654907,5,1024,8,6.807528972625732
model.layers.0.mlp.gate_proj,10240,11264,8.393891572021518,0.0006428457936227261,23.765013217926025,5,1024,8,6.823525428771973
model.layers.0.mlp.gate_proj,11264,12288,8.392911258747626,-0.0003374674802696376,23.986661911010742,5,1024,8,6.817602634429932
